,phylum,class,order,family,genus,species
1608473,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. NCu2D-2
2708348,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. WY4
1920110,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter sp. CFNIH10
575,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella planticola
1903410,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,NA,NA
122277,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,NA
78398,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium odoriferum
554,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium carotovorum
56460,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas vesicatoria
2622702,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
2662448,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella sp. MW5194
2505970,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter armoricus
1622,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus murinus
1470540,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,NA
1868793,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,Jeotgalibaca porci
818,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron
1592728,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula sp. CBA1115
671232,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
1328,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus
64642,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus muriaticus
375175,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,Loigolactobacillus backii
86664,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia flexa
2213202,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus lenghuensis
648800,Bacillota,Bacilli,Bacillales,Planococcaceae,Solibacillus,NA
